Location,CO2_Emissions,CH4_Emissions,N2O_Emissions,Population,Land_Use,Date
Region1,371.126614718492,231.3110998442358,37.93427433818303,6305,Agricultural,2023-01-01
Region4,208.00318927686595,204.80946653972777,43.57313774926728,32069,Agricultural,2023-01-02
Region2,394.077608849038,116.6290304057284,57.247339802883786,40526,Agricultural,2023-01-03
Region1,484.8754180469753,66.22027799759935,77.55355206360888,14195,Urban,2023-01-04
Region4,199.5012574079832,131.44823428276146,40.015671921214775,49846,Agricultural,2023-01-05
Region4,330.4629337671348,96.44682843418856,93.17428899586872,8762,Urban,2023-01-06
Region4,336.8167725087356,76.4975269515966,87.60866921523122,37076,Urban,2023-01-07
Region4,328.90076231634936,60.68543635736505,14.382126637797567,29675,Urban,2023-01-08
Region2,189.23265305624733,195.11887284211576,32.82782718311405,33933,Forested,2023-01-09
Region4,481.099604606794,52.2854917250062,50.152196139328176,35183,Agricultural,2023-01-10
Region2,278.85015144705096,204.11614970055524,19.416509986822668,43062,Forested,2023-01-11
Region3,438.5634689884511,79.38932908007502,41.362839013014735,12209,Agricultural,2023-01-12
Region1,379.79171012700175,65.90441651735115,76.60877730559143,32504,Urban,2023-01-13
Region4,218.97478034205344,67.92060684772107,71.24630330285433,8228,Urban,2023-01-14
Region3,425.5191278809909,184.40956147078288,66.01459857094044,47783,Agricultural,2023-01-15
Region1,258.60229633879385,99.07344197056896,73.9475562450111,34467,Agricultural,2023-01-16
Region1,452.4412788444647,134.10789333601969,28.44313182637316,23657,Urban,2023-01-17
Region1,332.5091490543435,161.47375826478338,40.75283033782589,15226,Agricultural,2023-01-18
Region3,452.6941447419411,222.11023476575875,70.86182340497166,12957,Agricultural,2023-01-19
Region2,377.0126360311064,195.4088525422657,89.13112867281944,14596,Forested,2023-01-20
Region3,390.1017119278562,104.06558104774292,58.931024844528565,17832,Urban,2023-01-21
Region4,300.52975277068094,76.29655985822552,35.4429685850983,12992,Forested,2023-01-22
Region4,482.4334538892896,61.07486408423959,12.721173220538432,31281,Urban,2023-01-23
Region3,357.596079691855,110.3197268961885,73.93031460767921,49008,Forested,2023-01-24
Region1,269.5420194232719,102.42362984793564,10.709569315759634,25530,Agricultural,2023-01-25
Region2,342.55728565116976,141.22811336009593,43.5411162838896,4467,Agricultural,2023-01-26
Region2,107.67727932373342,186.6562671095361,57.74834931065036,11716,Urban,2023-01-27
Region2,220.62992666981967,189.12508912777145,92.99003155904738,23901,Urban,2023-01-28
Region2,364.069414997074,106.70376931643332,18.05450905296101,48027,Urban,2023-01-29
Region1,216.0310428841776,125.9853911800241,46.53480897714554,30111,Forested,2023-01-30
Region2,347.2061715995366,86.23019234738061,12.1881879739142,4087,Urban,2023-01-31
Region1,271.50748037830647,207.70910246130373,40.83498859074313,1131,Agricultural,2023-02-01
Region4,154.1896256889801,61.369615286648056,66.00079529558154,37124,Urban,2023-02-02
